term,definition
상호 인증(Mutual authentication),통신을 위한 두 실체가 서로 상대방의 신분을 확인하는 인증.
서버 메시지 블록(SMB),네트워크 상 존재하는 노드들 간에 자원을 공유할 수 있도록 설계된 프로토콜.
서비스 거부 공격(Denial of service attack),"정보 시스템이 서비스 거부 상태가 발생하도록 시스템 외부에서 공격하는 것으로 주로
대량의 서비스 요구 데이터 패킷을 통신망을 통하여 공격하고자하는 정보 시스템으로
보내어, 시스템에 과부하를 발생시켜 사용자에게 서비스를 제공하지 못하도록 하는 공격."
서비스 거부(Denial of service),"정보 시스템의 데이터나 자원을 정당한 사용자가 적절한 대기시간 내에 사용하는 것을
방해하는 행위. 주로 시스템에 과도한 부하를 일으켜 정보 시스템의 사용을 방해하는
공격의 방식."
세션 키(Session key),"통신을 하는 실체간에 한 통신 세션 동안에만 사용하는 암호 알고리즘 동작 키. 세션에
관계없이 하나의 키를 사용할 경우 공격자에게 주어지는 정보가 많아지기 때문에 이를
방지하기 위하여 세션마다 변경하여 사용하는 키."
세션 하이재킹(Session hijacking),"다른 사람의 세션 상태를 훔치거나 도용하여 액세스하는 해킹 기법. 일반적으로 세션 ID
추측 및 세션 ID 쿠키 도용을 통해 공격이 이루어짐. 하이재킹으로 인한 직접적인 피해는
세션 상태에 어떤 정보가 저장되어 있느냐에 달려 있지만 그보다 더 위험한 것은 ID와
패스워드를 사용하는 인증 절차를 건너뛰어 서버와 사용자가 주고받는 모든 내용을 그대로
도청하거나 서버의 권한을 확보할 수도 있음."
"속성 기관(AA, Attribute Authority)",속성 인증서를 생성하는 하나 이상의 실체로 구성된 신뢰된 제 3의 실체.
속성 인증서(Attribute certificate),"속성 정보 소유자와 사용자의 권한, 지위, 임무 등 속성 정보를 인증 기관의 개인 키로
서명한 인증서."
수동 위협(Passive threat),"데이터 통신에 대한 공격의 일종으로 이 형태의 공격에서 침입자(intruder)는 전송되고
있는 데이터의 어떤 특성을 알아내려고 시도하거나 그 내용을 읽어 데이터의 프라이버시를
훼손할 수도 있으며 데이터의 내용 자체는 안전하게 전송되더라도 메시지에 첨부된
송수신국의 식별자를 읽거나 메시지의 길이 또는 전송 빈도를 조사할 수도 있음. 이는
메시지의 내용을 변경시키지는 않음."
"순서 보존 암호화(OPE, Order Preserving Encryption)","평문 사이의 숫자 또는 문자로 나타난 순서가 암호문 사이에도 유지되는 성질을 제공하는
암호화 방식."
스니퍼(Sniffer),"네트워크 트래픽을 감시하고 분석하는 관리용 프로그램으로서 일반적으로 트래픽에 따른
병목현상을 해결하는 데 이용됨. 그러나 악의적인 용도로 LAN 등 네트워크 환경의 트래픽을
분석하여 사용자 ID나 패스워드, 이메일 정보를 수집하는 공격에도 이용됨. 스니퍼 공격에
대비하기 위한 대책으로는, ifconfig 명령이나 cpm을 사용하여 탐지하거나 promiscous
모드를 지원하지 않는 네트워크 카드 및 인텔리전트(Intelligent)한 허브(Hub)를 이용하는
방법이 있음. 이외 인증 기능을 강화하거나 암호화로 대처하는 방법도 있음."
스니핑(Sniffing),"해커가 네트워크 상에서 자신이 아닌 다른 상대방의 패킷교환을 수집하여 비밀번호 등을
알아내는 해킹기법."
스마트 서명(Smart Sign),"모든 스마트폰 웹브라우저에서 전자서명이 가능한 기술. 브라우저별 특성에 관계없는 공통의
스마트 사인 앱(smart sign app)을 설치하면 모든 스마트폰 웹브라우저에서 공인인증서
전자서명을 이용할 수 있음."
스마트 토큰(Smart Token),"보안 기능과 IC카드 기능을 하나로 통합한 USB 메모리 모양의 토큰. 은행카드 기능을
내장한 IC칩, 보안모듈, CPU, 메모리, 공인인증서를 탑재해 기본적인 보안기능에 인터넷
뱅킹, 전자통장, IC 카드 등의 기능도 제공함."
스미싱(Smishing),"SMS와 피싱(Phishing)의 결합어로 문자메시지를 이용하여 피싱하는 새로운 휴대폰 해킹
기법. 웹사이트 링크가 포함된 문자 메시지를 보내 휴대폰 사용자가 링크를 클릭하면
트로이목마를 주입해 휴대폰을 통제할 수 있게 함."
스캐닝(Scanning),"시스템의 특성을 파악하기 위한 행위로, 해킹의 사전 단계로 악용됨."
스크리닝 라우터(Screening router),"외부(인터넷)와 내부방의 사이에서 패킷 필터링 규칙을 적용하여 이에 대한 규칙 조건에
따라 트래픽의 통과와 허가 또는 거부되도록 설정할 수 있는 라우터로 방화벽 역할을 수
행하는 구조임."
스턱스넷(Stuxnet),"원격 감시 제어 시스템(SCADA)의 제어 소프트웨어에 침투하여 시스템을 마비하게 하는
악성코드. 원자력 발전소와 송·배전망, 화학 공장, 송유·가스관과 같은 산업 기반 시설에
사용되는 제어 시스템에 침투하여 오동작을 유도하는 명령 코드를 입력해서 시스템을 마
비하게 하는 악성코드."
스테가노그래피(Steganography),"정보를 은닉하여 그 정보의 존재 자체를 감추는 보안 기술. 스테가노그래피는 정보가
제 3의 사용자로부터 불법적으로 사용되거나 변조되는 것을 막기 위한 수단 중의 하나로
비밀 메시지를 영상이나 오디오 파일에 은닉하는 기술. 암호와 다른 점은 암호화가 메시지
내용을 보호하는 것이 목적이라면 스테가노그래피는 정보의 존재 자체를 감추는 기술임."
스트림 암호(Stream cipher),"데이터를 비트 단위로 암호화 시키는 비밀 키 암호 방식으로 알고리즘 동작 과정에서
얻어지는 키수열을 암호화 또는 복호화하고자 하는 데이터와 비트 단위 XOR 연산을 한
결과를 암호 알고리즘의 최종 결과값으로 출력함."
스파이웨어(Spyware),"스파이(spy)와 소프트웨어(software)의 합성어로, 이용자의 동의 없이 또는 이용자를 속여
설치되어 이용자 몰래 정보를 빼내거나 시스템 및 정상 프로그램의 설정을 변경 또는
운영을 방해하는 등의 악성행위를 하는 프로그램."
스팸 릴레이(Spam Relay),"보안이 취약한 메일 서버의 릴레이 기능을 이용하여 스팸메일을 보내는 것. 메일 서버를
정당한 권한 없이 스팸메일 서버로 악용하는 것으로, 스팸 릴레이 공격이 진행되면 대량의
이메일을 송수신하기 위해 네트워크 트래픽이 증가해 정상적인 이메일 수신을 방해할 수 있음."
스팸(Spam),정보통신망을 통해 이용자가 원하지 않는데도 불구하고 일방적으로 전송되는 광고성 정보.
스푸핑(Spoofing),"컴퓨터들이 통신하는 과정에 필요한 주소를 임의의 다른 값으로 변조하는 행위. 정상적인
이용자에게 전달될 메시지가 위조된 주소(해커)로 전달되므로 해커는 허가되지 않은 정보를
훔쳐보거나, 인증을 거친 이용자의 세션정보를 중간에서 가로채어 정상적인 서비스를 이용
할 수 있게 됨."
스피어 피싱(Spear phishing),"특정인 또는 조직을 표적으로 신뢰할 만한 발신인이 보낸 것처럼 위장한 메일을 통해 악
성 웹 사이트로 유도하거나 악성 첨부 파일로 악성코드에 감염시키는 피싱 공격을 말한
다. 작살(spear)과 피싱(phishing)이 합쳐진 말로, 작살로 물고기를 잡는 ‘작살 낚시
(Spear Fishing)’에서 유래하였음."
슬래머웜(Slammer Worm),"특정 포트를 이용해 MS SQL 서버를 공격하는 웜 바이러스로 Microsoft의 데이터베이스
관리 시스템인 SQL 서버의 허점을 이용한 것으로 특정 포트를 이용해 MS SQL 서버를
공격하는 기법이다. 2003년 1.25 당시 발생 10분만에 전 세계적으로 7만 5천개의 취약한
MS-SQL서버에 감염이 되어 트래픽 폭증으로 인한 인터넷 장애를 유발하였음."
시그니처(Signature),악성코드를 진단/치료하기 위해 사용되는 진단값. 패턴이라고도 함.
시도 응답(Challenge response),"검증자가 요구하는 임의의 요청(도전)에 대해서도 정확한 인증 정보(응답) 제공을 요구함
으로써 실체를 인증하는 방법. 패스워드 기반 사용자 인증기법에 대한 도전 응답 방법은
사용자가 인증 요구와 함께 사용자 식별 번호(PIN)를 인증 서버에게 전달하면, 인증 서버는
난수를 생성하여 도전 메시지로 사용자에게 전달한다. 이와 동시에 인증 서버는 해당
사용자의 식별 번호에 해당하는 패스워드를 키 데이터베이스에서 꺼내 이것을 이용하여
난수의 암호화를 시작함. 도전 메시지를 받은 사용자는 그것을 자신의 패스워드로 암호화
하여 응답함. 사용자로부터 응답을 받은 인증 서버는 서버 자신이 계산한 값과 수신된
응답 값을 비교하여 일치하는 경우에 사용자를 정당한 사용자로 인증하게 됨."
시큐어 소켓 레이어 가상 사설망(SSL VPN),"보안 소켓 계층(SSL) 프로토콜 기반으로 한 가상 사설망(VPN) 정보 처리 방법. 웹 브라
우저와 서버 간의 통신에서 정보를 암호화하는 SSL 보안 프로토콜을 사용하기 때문에,
SSL VPN은 구축이 간편하고 비용이 적음."
시큐어 코딩(Secure Coding),"안전한 소프트웨어 개발을 위해 소스 코드 등에 있을 수 있는 잠재적인 보안 취약점을
제고하고 보안을 고려하여 기능을 설계 및 구현하는 등 소프트웨어 개발 과정에서 지켜야
할 일련의 보안 활동을 의미함. 소프트웨어 개발 보안이라고도 명명함."
식별(Identification),"다른 사람이나 객체의 신분을 확인하는 절차. 복수의 사용자(고객)가 이용하는 컴퓨터
시스템이나 통신망에서 정당한 사용자를 확인함."
신 플러딩 공격(SYN Flooding Attack),"Client가 Server로 SYN패킷을 보내면 Server는 SYK/ACK를 보내고 해당 connection을
backlog Queue에 넣어둠. 이 Backlog Queue가 더 꽉차서 더 이상 새로운 connection을
형성을 못하게 하는 공격을 SYN Flooding Attack 이라고 함."
"아이핀(i-PIN, Internet Personal Identification Number)","인터넷 상에서 주민등록번호를 대신하여 아이핀 아이디와 비밀번호를 통해 회원가입 및
성인인증 등 본인확인을 하는 수단을 말함"
악성 앱(Malicious App),"사용자의 동의 없이 개인정보 유출, 부당과금 유발, 분산서비스거부(DDoS) 등의 악성
행위를 수행하는 앱."
"악성 코드 은닉 사이트 탐지 프로그램(MC-Finder, Malicious Code-Finder)","보안이 취약한 홈페이지가 해킹되어 악성코드를 유포하거나 경유사이트로 악용되는 것을
사전에 탐지 및 대응하기 위하여 개발된 악성코드 은닉 사이트 자동탐지 프로그램. 즉,
웹서버가 해킹으로 인해 악성코드를 다운로드하는 정보가 삽입되어 웹 서비스 이용자 PC에
악성코드를 설치하는지 여부를 확인하는 프로그램."
"악성코드, 악성 프로그램(Malicious code)","악의적인 목적을 위해 작성된 실행 가능한 코드의 통칭으로 자기 복제 능력과 감염 대상
유무에 따라 바이러스, 윔, 트로이목마 등으로 분류됨."
안티 스파이웨어(Anti-spyware),"각종 스파이웨어 프로그램이나 그 피해로부터 컴퓨터와 네트워크를 보호하는 프로그램.
안티 스파이웨어는 크게 스파이웨어를 시그너처 기반으로 검색하여 제거하는 스파이웨어
스캐너(scanner) 방식과, 체크리스트에 근거하여 액티브엑스(ActiveX) 컨트롤의 설치와
실행을 통제함으로써 스파이웨어를 차단하는 ActiveX 차단 방식으로 분류됨."
암호 알고리즘(Cryptographic algorithm),"기밀성, 무결성, 인증 등의 목적을 달성하기 위한 암호화, 전자서명, 키분배 등 비밀
정보를 이용하여 데이터를 이해하기 어려운 형식으로 변환하는 수학적 함수를 말함."
암호 해독(Cryptanalysis),"암호문 또는 모든 형태의 암호를 깨는 학문이나 기술. 암호 알고리즘 적용을 통해 보장
되는 정보보호 서비스를 비적법 절차를 통해 무력화 시키는 방법으로, 비밀 키를 모르는
상태에서 암호문에 대응하는 평문을 찾아내는 것 등을 예로 들 수 있음."
암호(Cryptography),"정보의 보안을 위하여 안전한 정보와 신뢰할만한 정보를 생성하기 위해 수학을 사용하는
기술로 평문을 제3자가 이해하기 곤란한 형식으로 변환하거나 암호문을 판독 가능한
형식으로 변환하는 원리나 수단, 방법 등을 다루는 기술. 정보보호를 위한 각종 요구 사항을
만족시키기 위해 적용하는 보안 기술 일체."
암호문(Ciphertext),"제3자의 불법적 정보 획득을 방지하기 위해 암호화 알고리즘을 적용하여 얻어진 결과값
으로, 복호화 알고리즘을 적용하여 암호화 알고리즘의 입력값(평문)을 복구할 수 있음."
암호학(Cryptology),"평문을 해독 불가능한 형태로 변형하거나 암호화된 문장을 해독 가능한 형태로 변환하기
위한 원리, 수단, 방법 등을 취급하는 학문의 한 분야. 암호 기법 및 암호 해독에 대한
원리, 수단, 방법 등을 취급하는 학문의 한 분야."
암호화 키(Encryption key),"전자문서를 대칭 암호화방식으로 암호화 또는 복호화하기 위하여 이용하는 전자적 정보.
비밀 키 암호화 알고리즘을 이용하여 정보를 암호화 또는 복호화 할 때 사용하는 알고리즘
동작 키로 유일한 비밀 요소로 관리되어야 함."
"암호화(Encryption, Encipherment)","정보보호 또는 기밀성 보호를 위하여 평문을 암호문(암호화 알고리즘의 출력)으로 변환하는
일련의 과정으로서, 데이터의 보안성을 보장. 대상 정보에 대한 기밀성과 무결성 제공을
위하여 정보를 가공하는 절차로 비밀 정보인 키를 통해 안전성을 보장함."
애드웨어(Adware),"원래는 무료로 사용되는 프리웨어(freeware)나 일정한 금액으로 제품을 구매해야 하는
셰어웨어(shareware) 등에서 광고 보는 것을 전제로 사용이 허용되는 프로그램을 의미.
무분별한 팝업 광고나 브라우저의 시작페이지 고정 등 불편을 야기하거나 사용자 모르게
개인정보 등이 광고업체에 제공되는 등 문제를 야기함."
앱 게놈 프로젝트(The App Genome Project),"스마트폰 애플리케이션 마켓에서 유통되는 앱의 기능 및 보안위협 등을 분석하여 악성
행위여부를 파악하기 위한 프로젝트."
"양자 키 분배(QKD, Quantum Key Distribution)","양자 통신을 위해 비밀키를 분배, 관리하는 기술. 보안이 필요한 송수신자 사이에 양자
키 분배(QKD) 기술을 사용하여 암호화에 필요한 비밀키를 안전하게 공유할 수 있음.
양자 키 분배를 위해 얽힘 상태 광자 쌍을 이용하거나, 단일 광자를 이용하는 방법 등이
있음."
양자내성(Quantum-Resistant),"양자 컴퓨터의 공격에 저항이 가능한 특성으로 양자내성, 양자저항, 양자안전 등으로 불림.
이산대수, 인수분해 문제에 기반한 암호로 기존에 널리 사용되던 RSA, ECC 등이 양자
알고리즘을 통해 해독됨이 밝혀지며 양자내성에 대한 중요도가 높아짐. 공개키 암호는
양자컴퓨터로 해독이 불가능한 NP-hard 문제를 활용해 양자내성을 가지며 대칭키 암호는
키 길이를 증가하여 양자저항을 가짐."
"양자내성암호(PQC, Post-Quantum Cryptography)","양자 컴퓨터의 공격에 내성이 있는 암호 알고리즘. 양자 기반 알고리즘인 쇼어 알고리즘의
공격에 다항 시간 내에 풀리지 않는 보안성을 갖추었으며, 양자내성암호, 혹은 양자저항
암호라고 불림."
데이터가,"엔트로피(Entropy)
가지는
정보량을
수치로
나타낸
것.
무질서도(disorder)
또는
난수성
(randomness)의 측정 기준."
역공학(Reverse Engineering),"정보보호 분야에서는 주로 악성코드의 기능이나 동작을 분석할 때 사용되며, 소스코드가
제공되지 않는 프로그램을 역으로 분석하여 기능을 추적하는 행위를 의미함. 시스템이나
프로그램 등을 개발하기 위하여 설계-구현-테스트 등 단계적으로 절차를 진행하는 것에
반대되는 개념."
영구 삭제(Wiping),저장매체에서 삭제된 데이터가 복구 도구에 의해 복구되지 않도록 삭제하는 방법.
"영지식 증명(ZKP, Zero-Knowledg Proof)","증명자가 알고 있는 비밀값을 알고 있다는 사실 외에 어떤 정보도 노출하지 않으면서
검증자에게 비밀값을 알고 있음을 증명하는 방법."
오버레이 네트워크(Overlay network),"기존 네트워크를 바탕으로 그위에 구성된 또 다른 네트워크. 기존의 네트워크 위에 별도의
노드들(nodes)과 논리적 링크들(logical links)을 구성하여 이루어진 가상 네트워크로
오버레이 네트워크에서 이웃노드들은 물리적인 이웃 노드가 아니라 논리적인 이웃 노드로
기존의 네트워크를 최대한 활용하여 보다 효율적인 네트워크 서비스를 제공."
오용 분석(Misuse analysis),"정보 시스템을 평가하기 위해 필요한 보증 요구 사항 중의 하나로써 정보 시스템이 안전
하지 않은 상태로 구성되거나 혹은 설치, 사용될 수 있는지의 여부를 평가하는 것."
오용 탐지(Misuse detection),"침입 행위 자료를 기반으로 침입 탐지하는 것으로 현재 알려진 공격 패턴과 일치하는지
검사하는 방법(Pattern Matching)."
"온라인 인증서 상태 검증 프로토콜(OCSP, On-line Certificate Status Protocol)","공개 키 기반 구조 내에서 인증서에 대한 상태 정보를 서버에게 문의하여 알기 위하여
사용되는 프로토콜로서, 인증서 상태 정보를 요구하는 질의 메시지와 인증서 상태 정보
요구에 응하는 응답 메시지로 구성됨."
옵트아웃(Opt-out),사용자가 수신거부 의사를 밝혀야 광고 등 서비스가 제공되지 않는 방식.
옵트인(Opt-in),사전 동의를 한 사용자에 한하여 광고 등 서비스가 제공하는 방식.
"워터마킹(Watermarking, digital watermarking)","디지털 이미지, 오디오, 비디오 등 디지털 형식으로 되어 있는 지적재산의 저작권 보호를
위해 자료에 삽입한 비트 패턴을 말함. 중세시대에 비밀문서를 주고받기 위해 물에 적시
거나 잉크에 적셔서 글을 읽을 수 있도록 했던 것에서 유래됨."
웜(Worm),"다른 파일에 기생하지 않고 독립적으로 자신을 복제하여 확산함으로써 전파 속도가 매우
빠른 특징을 가지는 악성코드 유형. 주로 메일이나 네트워크 공유폴더 등을 통해 전파되어
시스템과 네트워크에 부하를 높이는 증상을 보임."
웹 기반 공격(Web-Based Attack),"웹사이트를 매개로 악성 소프트웨어를 유포해 시도하는 공격 방법. 대부분 공격자가
합법적인 웹사이트에 침입해 악의적 목적의 소프트웨어인 악성코드를 설치하고 악성코드가
웹사이트를 방문한 사용자의 컴퓨터를 공격하여 사용자 컴퓨터를 악의적인 활동에 이용함.
이런 웹 기반 공격의 피해를 막기 위해서는 운영체제(OS), 애플리케이션, 웹 브라우저
등 모든 소프트웨어를 최신 상태로 유지하고, 사용 중인 보안 제품 역시 항상 업데이트
해야 함."
웹 방화벽(Web firewall),"웹 해킹을 탐지 및 차단하기 위하여 특화된 시스템으로 일반 방화벽에서는 탐지하지
못하는 HTTP 프로토콜의 헤드 정보 및 패턴의 식별을 통하여 웹 서버에 대한 공격을 차단
함으로써 웹 서버를 보호할 수 있는 시스템."
웹 익스플로잇 툴킷(Web Exploit Toolkit),"공격자들이 웹 공격을 위해 사용하는 취약점 공격서버를 쉽고 빠르게 구축할 수 있도록
도와주는 자동화된 도구모음. 많은 기존의 취약점 묶음으로 가지고 있을뿐만 아니라
최신의 취약점들도 빠르게 업데이트되며, 기타 분석 및 진단을 방해하기 위한 다양한 우회
기능까지 포함되어 있음."
웹 페이지 하이재킹(Web page hijacking),"사용자도 모르게 다른 웹 사이트로 페이지 주소가 변경되게 만드는 각종 수법. 예를 들면,
브라우저 홈 페이지 주소를 변경(홈 페이지 하이재킹)해 버리거나, 유명 메뉴나 보안성이
낮은 메뉴 및 홈 페이지를 변경(브라우저 하이재킹)되게 함. 또한 제3의 사이트에 유명
웹 페이지를 복사시켜 검색 엔진으로 하여금 검색하게 하기도 함."
웹 해킹(Web hacking),"웹서버와 웹애플리케이션의 취약점을 이용한 공격 기법. 웹 서비스와 관련된 구성 요소
들을 공격하여 불법적으로 이용자 권한을 획득하거나 관리자 권한을 획득, 정보 수집, 유출
등을 수행하는 행위를 수행."
웹쉘(WebShell),업로드 취약점을 통하여 해커가 원격에서 웹서버를 조종할 수 있도록 작성한 웹 스크립트.
웹체크(Webcheck),"인터넷 브라우저에 설치되어 이용자 PC의 해킹 감염 가능성이나 방문한 사이트의 위험성을
알려주고 유해정보 차단 등 사용자의 인터넷이용환경을 보호해주고 예방해 주는 정보보호
서비스"
"위장(Impersonation, masquerade)","한 실체가 시스템에 접근하고자 할 때, 정상적으로 허가받은 다른 실체인 것처럼 흉내내어
시스템에 접근을 시도하는 행위."
위험 분석(Risk analysis),"보안 위험을 확인하고 그것들의 중요도를 결정하며 보호수단을 요하는 부분을 확인하는
과정. 위험 분석은 위험 관리의 일부분."
위험 평가(Risk assessment),"위험 분석을 통해 확인된 보안 위협 요소와 위협 요소를 통해 발생 가능한 손실을 평가함
으로써 우선순위에 따른 보안 대책 수립에 활용."
위험(Risk),"예상되는 위협에 의하여 자산에 발생할 가능성이 있는 손실의 기대치. 자산의 가치 및
취약성과 위협 요소의 능력, 보호 대책의 효과 등에 의해 영향을 받음."
위협(Threat),보안에 위배되는 행동으로 자산에 손실을 발생시키는 원인이 되는 잠재적인 보안 위반.
융합 보안(Convergence Security),"정보보안과 물리보안 간의 융합 또는 보안 기술이 非 IT기술·산업과 융·복합되어 창출되는
보안 제품 및 서비스."
은닉 서명(Blind signature),"임의의 전자서명을 만들 수 있는 서명자와 서명 받을 메시지를 제공하는 제공자로 구성
되어 있는 서명 방식으로, 제공자의 신원과 [메시지, 서명] 쌍을 연결시킬 수 없는 특성을
유지할 수 있는 서명. 따라서, 제공자 이외의 다른 사람에게 모든 메시지 정보를 밝히지
않고도 다른 사람으로부터 메시지를 서명 받을 수 있는 구조, 은닉 서명은 주로 은행이
전자 화폐를 발급할 때, 돈이 누구에게 발급되었는지 알 수 없도록 하기 위해 사용되는
것으로, 사용자(서명자)가 은행에게는 서명을 받으려는 문서를 비밀로 한 채 은행의 서명을
받는 방법으로 고객이 만들어 보낸 은닉된 데이터에 은행이 금액 정보만 확인하고 고객의
신상 정보에 관한 내용은 알지 못한 채 서명을 하는 방식을 말함."
"응용 계층 보안 (ALS, Application Layer Security)",HTTP 기반에서 S-HTTP의 장점을 수용한 응용 계층 보안 프로토콜.
의사 난수(Pseudorandom number),"완전한 난수를 발생시키는 일이 어렵고, 긴 난수열을 보존, 전송하는 일은 효율면에서 문제가
크므로 완전한 난수 대신으로 실용상 유익한 난수와 거의 구별이 되지 않게 사용되는 유사
난수를 말함. 의사난수는 짧은 난수의 초기값으로부터 함수를 이용해 긴 계열로 변환해서
얻을 수 있음."
"이메일 실시간 스팸 차단 리스트(RBL, Realtime Blocking List)","이메일 스팸발신 IP 리스트를 참조하여 포털·기업 등이 해당 IP에서 발신된 이메일을
수신자에게 수신되기 전에 실시간 차단하는 시스템."
이미지 스팸(Image spam),"스패머가 전달하고자 하는 내용을 텍스트가 아닌 이미지 형태로 바꾼 것으로, 유해한
내용이나 광고를 텍스트에 기반하여 탐지하는 스팸 차단 솔루션을 우회하기 위해 등장한
기법. 대부분의 기존 스팸은 텍스트로 구성이 되어 스팸 차단은 각종 텍스트 필터링
기술을 활용하여 탐지되었음. 따라서 스패머들은 새로운 기법으로 메일 클라이언트 프로
그램에서 지원하는 본문 내 이미지 첨부 방법을 악용해 이미지 스팸을 대량 발송하는 공격을
수행함."
이미징(Imaging),"서버, PC 등 시스템의 하드디스크와 완벽히 같은 사본 파일을 만드는 과정을 이미징
(Imaging)이라고 함. 이미징을 통해 사본 파일을 분석하는 것을 이미지 분석이라고 함.
숨김 파일, 임시파일, 손상/삭제 파일의 잔여정보가 그대로 존재하고, 원본 증거를 보호
할 수 있음."
이상금융거래탐지시스템(FDS),"금융 거래에서 부정 결제나 사기 등 이상 거래 징후를 사전에 탐지해서 차단하는 보안
시스템. 주로 은행이나 신용카드사 등 금융사와 모바일 결제 서비스, 온라인 쇼핑몰 등에서
기존 보안 체계를 보완하는 수단으로 활용하며, 이상금융거래탐지시스템(FDS)은 빅데이터
분석 기술 등을 바탕으로 결제와 관련한 다양한 정보를 수집하여 패턴화하고, 평소 정상
패턴과 다른 이상 징후를 발견하면 거래를 중단시킴."
"이중 인증, 2단계 인증(U2F)","스마트 카드에 사용되는 유사한 보안 기술을 기반으로 특수 범용 직렬 버스(USB,
Universal Serial Bus) 또는 근거리 무선 통신(NFC, Near-Field Communication) 장치를
사용하여 2단계 인증을 강화하고 간소화한 개방형 표준."
e프라이버시 클린서비스,"2016년 행정자치부는 'e프라이버시 클린서비스'를 서비스 추진함. 「e프라이버시클린서
비스(eprivacy.go.kr)」는 기존의 ‘주민등록번호 클린센터(myprivacy.go.kr)’를 확대 개편
하여 주민번호 뿐만 아니라, 주민번호 대체수단(아이핀, 휴대폰, 공인인증서)을 이용한
인증내역까지 통합하여 조회하고 웹사이트 회원 탈퇴, 개인정보(열람,처리정지 등)을 지원
하는 서비스."
익스플로잇(Exploits),"해커가 컴퓨터의 소프트웨어나 하드웨어의 보안 취약점을 공격하여 부당하게 권한을 획득
하는 행위나 이러한 목적으로 제작한 악의적 프로그램."
인가(Authorization),"특정 프로그램, 데이터 또는 시스템 서비스 등에 접근할 수 있는 권한이 주어지는 것.
비밀 보호를 목적으로 데이터나 프로그램 등 외부에서 접근하는 부분에 비밀 잠금 장치를
하여, 인가를 받지 않으면 임의로 접근할 수 없도록 되어 있으며, 승인된 패스워드 등의
키를 사용할 경우 특정 서비스를 받을 수 있음."
인공지능 (AI [Artificial Intelligence]),"컴퓨터로 구현한 지능 또는 이와 관련한 전산학의 연구 분야. 인공 지능은 사람 또는
동물의 지능이 컴퓨터로 모사될 정도로 세밀하고 정확하게 표현될 수 있다는 생각에 기반을 둠.
인공 지능의 방법과 관련한 탐색, 논리 및 추론, 지식 표현, 계획, 학습 등 세부 분야에
대한 연구가 진행 중이고, 자연어 처리, 컴퓨터 비전 및 패턴 인식, 로보틱스 등의 분야
에서 응용됨."
인공지능 퍼징 (AIF [Artificial Intelligence Fuzzing]),"기존 인공지능 기술과, 머신러닝 기술을 함께 사용함으로써, 애플리케이션 또는 시스템의
취약점을 찾는 강력한 도구를 생성하는 기법."
인증 경로(Certification path),"클라이언트(Client)가 신뢰하고 있는 공개 키가 속한 인증서에서 시작하여 클라이언트가
유효성을 검증해야 할 공개 키를 포함한 인증서까지의 모든 인증서들을 순서적으로 모아둔
인증서 계열."
인증 교환(Authentication Exchange),"인증 수행을 위해 인증 정보를 교환하는 것. 인증 교환에는 암호화 알고리즘이나 메시지
인증 코드(MAC)를 많이 사용함. MAC를 이용하면 메시지 전송 중에 수신자의 변경 여부를
확인할 수 있으며, 메시지가 순서번호(Sequence Number)를 갖고 있다면 메시지가 올바른
순서로 도착하는지도 확인이 가능함. 또한 동기화 클럭(Synchronized Clock)을 이용하여
양 당사자 간에 동기를 맞출 수 있음."
인증 기관 키 식별자(Authority key identifier),"인증서의 경우에 발급자 CA(인증 기관)의 공개 키와 결합된 인증키 식별자를 말하며,
인증서 폐지 목록에서는 CRL(인증서 폐지 목록) 서명문을 생성하는 데 사용된 인증키
식별자를 말함. 인증 기관이 여러 개의 공개 키를 사용하는 경우, 특정의 인증 기관 공개
키를 확인하기 위한 공개 키 식별자를 나타냄."
"인증 기관 폐기 목록(CARL, Certification Authority Revocation List)","인증 기관 자신이 발행한 인증 기관 인증서 중에서 더 이상 유효하지 않는 인증서 목록을
포함한 인증서 폐지 목록."
"인증 업무 준칙(CPS, Certification Practice Statement)","인증 기관이 인증서를 발행할 때 적용해야 할 규칙의 집합. 인증 업무의 종류, 수행 방법
및 절차, 이용 조건 및 이용 요금, 기타 인증 업무의 수행에 관하여 필요한 사항을 인증
기관이 공표하는 것으로 공인 인증 서비스 이용 기준이 될 수 있음."
"인증 헤더(AH, Authentication Header)","IPSec(IP Security)에서 사용하는 프로토콜로 무결성과 데이터 출처 인증을 제공하며
재전송 공격에 대한 보호 서비스를 선택적으로 제공하는 용도로 사용됨. IPSec 보안 프로
토콜의 보안 서비스의 일종으로 원본 IP 헤더를 포함한 IP 패킷 전체의 무결성을 보장함."
인증(Authentication),"정보 교환에 의해 실체 식별을 확실하게 하는 방법. 임의정보에 접근할 수 있는 객체의
자격이나 객체의 내용을 검증하는데 사용되는 수단으로 이를 통해 시스템의 부당한 사용
이나 정보의 부당한 전송 등을 방어하는데 사용됨. 인증은 자격인증과 내용인증으로 구
별되며, 송신에 관계된 인증과 수신에 관계된 인증이 있음. 송신에 대한 인증은 메시지
자체의 인증, 메시지 전송 사실 인증 혹은 발신자를 증명하기 위한 인증이 있으며, 수신에
대한 인증은 특정 범주를 가진 정보를 수신할 자격이 있는지를 검증하는 수단으로 사용됨."
